word,alternatives,meanings,created_at,last_seen_at,parts_of_speech
to handle,to treat; to deal with,扱う,2026-08-12,2026-08-12,verb
to wipe,,拭く,2026-08-12,2026-08-12,verb
to help someone who is in trouble or out of a situation,,助ける,2026-08-12,2026-08-12,verb
to save someone (in a spiritual or fatalistic sense),,救う,2026-08-12,2026-08-12,verb
to fall over,to collapse,倒れる,2026-08-12,2026-08-12,verb
to connect,,繋ぐ,2026-08-12,2026-08-12,verb
to be connected,,繋がる,2026-08-12,2026-08-12,verb
to act pretentious (to try and impress),,気取っている,2026-08-12,2026-08-12,verb
to take off,to remove; to miss; to dodge,外す,2026-08-12,2026-08-12,verb
to fudge the numbers,,鯖を読む,2026-08-12,2026-08-12,verb
to summarize,,纏める,2026-08-12,2026-08-12,verb
to dabble in,to enjoy; to partake in,嗜む,2026-08-12,2026-08-12,verb
